Id,Position,Nickname,Salary,Team
25481-9488,SF,LeBron James,13000,CLE
25481-15755,C,Anthony Davis,12700,NO
25481-9646,SF,Kevin Durant,10500,GS
25481-9524,PG,Stephen Curry,9000,GS
25481-15860,PF,Draymond Green,8800,GS
25481-9714,SG,DeMar DeRozan,8500,TOR
25481-9663,SG,Jrue Holiday,8400,NO
25481-9535,PG,Kyle Lowry,8300,TOR
25481-14522,PF,Nikola Mirotic,7400,NO
25481-9455,PG,Rajon Rondo,7400,NO
25481-14509,SG,Klay Thompson,6800,GS
25481-14503,C,Jonas Valanciunas,6500,TOR
25481-9874,PF,Kevin Love,6300,CLE
25481-40830,PG,Delon Wright,5300,TOR
25481-9957,PF,Serge Ibaka,4700,TOR
25481-9664,SF,Andre Iguodala,4600,GS
25481-9629,PF,David West,4400,GS
25481-9703,PG,George Hill,4400,CLE
25481-14554,SF,E'Twaun Moore,4300,NO
25481-9870,SG,Kyle Korver,4200,CLE
25481-9506,SG,JR Smith,4000,CLE
25481-9643,PG,Shaun Livingston,3800,GS
25481-20992,PF,Larry Nance Jr.,3700,CLE
25481-9739,C,JaVale McGee,3700,GS
25481-58378,C,Jakob Poeltl,3600,TOR
25481-58576,PF,Kevon Looney,3600,GS
25481-15762,SF,Darius Miller,3500,NO
25481-58658,SG,Patrick McCaw,3500,GS
25481-9648,PF,Jeff Green,3500,CLE
25481-60021,PF,Pascal Siakam,3500,TOR
25481-9725,SF,CJ Miles,3500,TOR
25481-20640,SG,Jordan Clarkson,3000,CLE
25481-12352,SG,Jordan Crawford,3000,NO
25481-15582,PG,Quinn Cook,3000,GS
25481-15904,SG,Rodney Hood,2500,CLE
25481-24247,PG,Fred VanVleet,2500,TOR
25481-15417,SF,Solomon Hill,2500,NO
25481-40769,PF,Jordan Bell,2500,GS
25481-17747,PG,Ian Clark,2500,NO
25481-68090,SF,OG Anunoby,2500,TOR
25481-9737,SG,Nick Young,2000,GS
25481-14501,C,Tristan Thompson,2000,CLE
25481-16293,SG,Norman Powell,2000,TOR
25481-66091,PF,Cheick Diallo,2000,NO
25481-9712,PG,Jose Calderon,2000,CLE
25481-15964,PG,Lorenzo Brown,2000,TOR
